CGDID	A19ID	GeneName
C1_00720W_A	tP(UGG)3	tP(UGG)3
C1_00730C_A	orf19.6033	CMP1
C1_00740C_A	orf19.6032	SPE1
C1_00750C_A	orf19.6031	VPS27
C1_00760W_A	orf19.6030	
C1_00770C_A	orf19.6029	ROT1
C1_00780C_A	orf19.6028	HGC1
C1_00790W_A	orf19.6027	
C1_00800C_A	orf19.6026	ERG2
C1_00810W_A	orf19.6025	
C1_00820W_A	orf19.6024	
C1_00830W_A	orf19.6023	
C1_00840C_A	orf19.6022	NRM1
C1_00850W_A	orf19.6021	IHD2
C1_00860W_A	orf19.6020	
C1_00870W_A	orf19.6018	LRO1
C1_00880W_A	orf19.6017	
C1_00890W_A	orf19.6016	GEM1
C1_00900W_A	orf19.6014	RRS1
C1_00910W_A	orf19.6013	
C1_00920W_A	orf19.6012	
C1_00930C_A	orf19.6011	SIN3
C1_00940W_A	orf19.6010.1	RPB11
C1_00950C_A	orf19.6010	CDC5
C1_00960C_A	orf19.6009	SET1
C1_00970W_A	orf19.6008.3	
C1_00980W_A	orf19.6008.4	
C1_00990C_A	orf19.3288	NMA111
C1_01000C_A	orf19.3289	
C1_01010W_A	orf19.3290	
C1_01020W_A	tA(AGC)4	tA(AGC)4
C1_01030W_A	orf19.3291	HMT1
C1_01040W_A	orf19.3292	
C1_01050C_A	orf19.3293	
C1_01060W_A	orf19.3294	MBF1
C1_01070C_A	orf19.3295	
C1_01080W_A	orf19.3296	
C1_01090C_A	orf19.3297	
C1_01100W_A	orf19.3298	CCH1
C1_01110C_A	orf19.3300	ZPR1
C1_01130W_A	orf19.3301	
C1_01140C_A	orf19.3302	
C1_01150C_A	orf19.3303	
C1_01160C_A	orf19.3304	
C1_01170C_A	orf19.3305	ZCF17
C1_01180C_A	orf19.3306	
C1_01190C_A	orf19.3307	
C1_01200W_A	orf19.3308	STB5
C1_01210W_A	orf19.3309	
C1_01220C_A	orf19.3310	
C1_01240W_A	orf19.3311	IFD3
C1_01250W_A	orf19.3312	
C1_01260C_A	orf19.3314	TRS20
C1_01270W_A	orf19.3315	CTA9
C1_01280C_A	orf19.3317	MED22
C1_01290C_A	orf19.3318	
C1_01300W_A	orf19.3319	
C1_01310W_A	orf19.3320	
C1_01320W_A	orf19.3321	MRS7
C1_01330C_A	orf19.3322	DUT1
C1_01340C_A	orf19.3323	
C1_01350C_A	orf19.3324	TIF
C1_01360C_A	orf19.3325	
C1_01370C_A	orf19.3325.3	RPS21B
C1_01380C_A	orf19.3327	TRM2
C1_01390C_A	orf19.3328	HOT1
C1_01400C_A	orf19.3329	
C1_01420C_A	orf19.3330	CRL1
C1_01440C_A	orf19.3330.3	POX18
C1_01450W_A	orf19.3331	ABC1
C1_01460W_A	orf19.3332	
C1_01470W_A	orf19.3333	
C1_01480C_A	orf19.3334	RPS21
C1_01490W_A	orf19.3335	
C1_01500W_A	orf19.3336	
C1_01510W_A	orf19.3337	
C1_01520C_A	orf19.3340	SOD2
C1_01530C_A	orf19.3341	
C1_01540W_A	orf19.3342	
C1_01550W_A	orf19.3344	VPS17
C1_01560W_A	orf19.3345	SIZ1
C1_01570C_A	orf19.3347	RPB7
C1_01580W_A	orf19.3348	
C1_01590C_A	orf19.3349	
C1_01600W_A	orf19.3350	MRP20
C1_01610C_A	orf19.3351	
C1_01620C_A	orf19.3352	
C1_01630W_A	orf19.3353	
C1_01640W_A	orf19.3354	RPS42
C1_01650W_A	orf19.3355	ISN1
C1_01660C_A	tS(UGA)1	tS(UGA)1
C1_01670C_A	orf19.3356	ESP1
C1_01680C_A	orf19.3357	
C1_01690C_A	orf19.3358	LSC1
C1_01700W_A	orf19.3359	ARP8
C1_01710W_A	orf19.3360	
C1_01720C_A	snR5a	
C1_01730W_A	tA(AGC)3	tA(AGC)3
C1_01740W_A	orf19.4551	CTN1
C1_01750W_A	orf19.4550	
C1_01760W_A	orf19.4549	FGR38
C1_01770W_A	orf19.4548	MAK32
C1_01780C_A	orf19.4546	HOL4
C1_01790W_A	orf19.4545	SWI4
C1_01800W_A	orf19.4544	
C1_01810C_A	orf19.4543	UGA2
C1_01820C_A	orf19.4542	
C1_01830C_A	orf19.4540	UBC8
C1_01840C_A	orf19.4539	
C1_01850C_A	orf19.4538	
C1_01860W_A	orf19.4537	
C1_01870C_A	orf19.4536	CYS4
C1_01880C_A	orf19.4535	PTR3
C1_01890C_A	orf19.4534	
C1_01900C_A	orf19.4533	
C1_01910W_A	orf19.4532	
C1_01920W_A	orf19.4531	ROA1
C1_01930W_A	orf19.4530.1	
C1_01940C_A	orf19.4529	
C1_01950C_A	orf19.4528	
C1_01970W_A	orf19.4528.1	
C1_01980W_A	orf19.4527	HGT1
C1_01990W_A	orf19.4526	HSP30
C1_02000W_A	orf19.4525	
C1_02010C_A	orf19.4524	ZCF24
C1_02020W_A	orf19.4523	
C1_02030C_A	orf19.4522	
C1_02040C_A	orf19.3661	
C1_02050C_A	orf19.3663	PHO91
C1_02060W_A	orf19.3663.1	
C1_02070W_A	orf19.3664	HSP31
C1_02080W_A	orf19.3665	SET6
C1_02090C_A	orf19.3666	
C1_02100W_A	orf19.3667	
C1_02110C_A	orf19.3668	HGT2
C1_02120C_A	orf19.3669	SHA3
C1_02130C_A	orf19.3670	GAL1
C1_02140C_A	orf19.3671	
C1_02150W_A	orf19.3672	GAL10
C1_02160W_A	orf19.3673	
C1_02170C_A	orf19.3674	GAL102
C1_02180W_A	orf19.3675	GAL7
C1_02190W_A	orf19.3676	ABP140
C1_02200C_A	orf19.3677	
C1_02210W_A	orf19.3678	
C1_02220C_A	orf19.3679	
C1_02230W_A	orf19.3680	SEP7
C1_02240W_A	orf19.3681	
C1_02250W_A	orf19.3682	CWH8
C1_02260C_A	orf19.3683	AGE3
C1_02270C_A	orf19.3684	
C1_02280C_A	orf19.3685	PSY2
C1_02290C_A	orf19.3686	
C1_02300W_A	orf19.3687	
C1_02310C_A	orf19.3688	
C1_02320C_A	orf19.3689	
C1_02330C_A	orf19.3690.2	
C1_02340C_A	tR(CCG)1	tR(CCG)1
C1_02350W_A	orf19.3691	TIM21
C1_02360C_A	orf19.3693	PGA5
C1_02370C_A	orf19.3694	
C1_02380C_A	orf19.2925	
C1_02390W_A	orf19.2926	
C1_02400C_A	orf19.2927	MNN11
C1_02410C_A	orf19.2928	
C1_02420C_A	orf19.2929	GSC1
C1_02430C_A	orf19.2930	
C1_02440C_A	orf19.2933	
C1_02450C_A	orf19.2934	
C1_02460W_A	orf19.2935	RPL10
C1_02470W_A	orf19.2936	
C1_02480W_A	orf19.2937	PMM1
C1_02490C_A	orf19.2938	
C1_02500W_A	orf19.2939	
C1_02510W_A	orf19.2940	
C1_02520W_A	orf19.2941	SCW4
C1_02530C_A	orf19.2942	DIP5
C1_02540C_A	tR(UCU)4	tR(UCU)4
C1_02560W_A	orf19.2943.5	
C1_02570C_A	orf19.2945	PUT4
C1_02580W_A	orf19.2946	HNM4
C1_02590C_A	orf19.2947	SNZ1
C1_02600W_A	orf19.2948	SNO1
C1_02610W_A	orf19.2949	IML1
C1_02620C_A	orf19.2951	HOM6
C1_02630C_A	orf19.2952	EXG2
C1_02640C_A	orf19.2953	TOM20
C1_02650W_A	orf19.2954	
C1_02660C_A	orf19.2956	MGM101
C1_02670C_A	orf19.2957	MNN43
C1_02680C_A	orf19.2958	MNN44
C1_02690C_A	orf19.2959	
C1_02700C_A	orf19.2959.1	
C1_02710W_A	orf19.2960	FRS2
C1_02720W_A	orf19.2961	
C1_02730W_A	orf19.2962	
C1_02740C_A	orf19.2963	
C1_02750C_A	orf19.2964	
C1_02760W_A	orf19.2965	
C1_02770W_A	orf19.2965.1	
C1_02780W_A	orf19.2966	
C1_02790W_A	orf19.2967	TIF34
C1_02800W_A	orf19.2968	
C1_02810W_A	orf19.2969	RAD16
C1_02820W_A	orf19.2970	LYS2
C1_02830W_A	orf19.2971	
C1_02840W_A	orf19.2972	PDE2
C1_02850W_A	orf19.2973	
C1_02860C_A	orf19.2974	YKT6
C1_02870W_A	orf19.2975	YPT7
C1_02880C_A	orf19.2977	MIA40
C1_02890C_A	orf19.2978	
C1_02900C_A	orf19.2980	
C1_02910C_A	orf19.2982	
C1_02920W_A	orf19.2983	CDC73
C1_02930C_A	orf19.2984	MST1
C1_02940C_A	orf19.2985	
C1_02950W_A	orf19.2986	
C1_02960C_A	orf19.2987	
C1_02970W_A	orf19.2988	
C1_02980W_A	orf19.2989	GOR1
C1_02990C_A	orf19.2990	XOG1
C1_03000W_A	orf19.2991	HOL1
C1_03010W_A	orf19.2992	RPP1A
C1_03020C_A	orf19.2994	RPL13
C1_03030W_A	orf19.2994.1	RPS16A
C1_03040W_A	orf19.2995	
C1_03050W_A	orf19.2996	
C1_03060C_A	orf19.2998	TSR2
C1_03070C_A	orf19.3000	ORC1
C1_03080C_A	orf19.3001	TEM1
C1_03090W_A	orf19.3002	RPS1
C1_03100W_A	orf19.3003	
C1_03110W_A	orf19.3003.1	RPL6
C1_03120W_A	orf19.3004	
C1_03130C_A	orf19.3006	GGA2
C1_03140W_A	orf19.3007	
C1_03150C_A	orf19.3007.2	
C1_03160C_A	orf19.3008	COQ4
C1_03170C_A	orf19.3009	
C1_03180W_A	orf19.3010	
C1_03190C_A	orf19.3010.1	ECM33
C1_03200C_A	orf19.3012	ARO80
C1_03210C_A	orf19.3013	CDC12
C1_03220C_A	orf19.3014	BMH1
C1_03230C_A	orf19.3015	ARX1
C1_03240W_A	orf19.3016	
C1_03250C_A	orf19.3018	SPP1
C1_03260W_A	orf19.3019	
C1_03270W_A	orf19.3021	
C1_03280W_A	orf19.3022	
C1_03290W_A	orf19.3023	NGG1
C1_03300C_A	orf19.3026	MAS1
C1_03310W_A	orf19.3027	
C1_03320C_A	orf19.3029	EHD3
C1_03330C_A	orf19.3030	
C1_03340C_A	orf19.3031	SEC62
C1_03350C_A	orf19.3034	RLI1
C1_03360W_A	orf19.3035	
C1_03370W_A	orf19.3037	
C1_03380W_A	orf19.3038	TPS2
C1_03390W_A	orf19.3040	EHT1
C1_03400W_A	orf19.3041	
C1_03410W_A	orf19.3042	
C1_03420W_A	tN(GUU)3	tN(GUU)3
C1_03430W_A	orf19.3043	
C1_03440C_A	orf19.3045	
C1_03450C_A	orf19.3047	
C1_03460C_A	orf19.3048	
C1_03470C_A	orf19.3049	
C1_03480C_A	orf19.3050	AGE1
C1_03490W_A	orf19.3051	
C1_03500W_A	orf19.3052	YPT1
C1_03510C_A	orf19.3053	
C1_03520W_A	orf19.3054	RPN3
C1_03530W_A	orf19.3055	MED17
C1_03540C_A	orf19.3057	
C1_03550C_A	orf19.3058	COQ6
C1_03560C_A	orf19.3059	SUA71
C1_03570C_A	tL(UAA)3	tL(UAA)3
C1_03580W_A	orf19.3059.1	
C1_03600W_A	orf19.3060	
C1_03610C_A	orf19.3061	IMP1
C1_03620C_A	orf19.3061.1	
C1_03630W_A	orf19.3062	
C1_03640C_A	orf19.3063	HFL1
C1_03650C_A	orf19.3064	MRPL27
C1_03660W_A	orf19.3064.1	
C1_03670C_A	orf19.3065	DAO1
C1_03680W_A	orf19.3066	ENG1
C1_03690W_A	orf19.71	
C1_03700C_A	tT(CGU)1	tT(CGU)1
C1_03710C_A	orf19.1133	MSB1
C1_03720C_A	orf19.1037	
C1_03730C_A	orf19.1036	MNS1
C1_03740W_A	orf19.1035	WAR1
C1_03750W_A	orf19.1034	
C1_03760C_A	orf19.1033	STR2
C1_03770W_A	orf19.1032	SKO1
C1_03780C_A	orf19.1031	HMG1
C1_03790C_A	orf19.1030	
C1_03800W_A	orf19.1029	RPP1
C1_03810C_A	orf19.1028	ELA1
C1_03820W_A	orf19.1027	PDR16
C1_03830C_A	orf19.1026	
C1_03840W_A	orf19.1026.1	
C1_03860C_A	orf19.4457	BNI4
C1_03870C_A	orf19.4459	
C1_03880C_A	orf19.4461	
C1_03890W_A	orf19.4463	
C1_03900W_A	orf19.4464	SEN15
C1_03910C_A	orf19.4465	
C1_03920C_A	orf19.4466	
C1_03930W_A	orf19.4467	
C1_03940W_A	orf19.4468	
C1_03950C_A	orf19.4470	
C1_03960C_A	orf19.4471	
C1_03970W_A	orf19.4472	
C1_03980W_A	orf19.4473	SPC19
C1_03990W_A	orf19.4474	
C1_04000C_A	orf19.4475	KTR4
C1_04010C_A	orf19.4476	
C1_04020C_A	orf19.4477	CSH1
C1_04030W_A	orf19.4478	
C1_04040C_A	orf19.4479	
C1_04050C_A	orf19.4481	MFALPHA
C1_04060W_A	orf19.4482	IFI3
C1_04070C_A	orf19.1039	BET4
C1_04080W_A	orf19.1040	MAD2
C1_04090C_A	orf19.1041	
C1_04100C_A	orf19.1042	POR1
C1_04110W_A	orf19.1043	
C1_04120C_A	orf19.1045	
C1_04130W_A	orf19.1047	ERB1
C1_04140W_A	orf19.1048	IFD6
C1_04150C_A	orf19.1049	
C1_04160C_A	orf19.1050	
C1_04170C_A	orf19.1051	HTA2
C1_04180W_A	orf19.1052	
C1_04190C_A	orf19.1053	BST1
C1_04200C_A	orf19.1054	
C1_04210C_A	orf19.1055	CDC3
C1_04220C_A	orf19.1057	
C1_04230W_A	orf19.1058	
C1_04240C_A	orf19.1059	HHF1
C1_04250C_A	orf19.1060	
C1_04260W_A	orf19.1061	HHT21
C1_04270C_A	orf19.1062	
C1_04280C_A	orf19.1063	
C1_04290C_A	orf19.1064	ACS2
C1_04300C_A	orf19.1065	SSA2
C1_04310C_A	orf19.1066	GIG1
C1_04320W_A	orf19.1067	GPM2
C1_04330W_A	orf19.1069	RPN4
C1_04340C_A	orf19.1070	
C1_04350C_A	orf19.5203	
C1_04360C_A	orf19.5201.1	
C1_04370C_A	orf19.5201	
C1_04380W_A	orf19.5200	SIT4
C1_04390C_A	orf19.5198	NOP4
C1_04400C_A	orf19.5197	APE2
C1_04410C_A	orf19.5196	ESS1
C1_04420C_A	orf19.5195	URA6
C1_04430C_A	orf19.5194.1	
C1_04440W_A	orf19.6833.2	
C1_04450C_A	orf19.6837	FMA1
C1_04460C_A	orf19.6838	
C1_04470C_A	orf19.6840	
C1_04480C_A	orf19.6842	TUS1
C1_04490W_A	orf19.6843	
C1_04500W_A	orf19.6844	ICL1
C1_04510W_A	orf19.6845	
C1_04520C_A	orf19.6846	PHO85
C1_04530C_A	orf19.6847	
C1_04540C_A	orf19.6848	VPS16
C1_04550W_A	orf19.6849	ELC1
C1_04560W_A	orf19.6850	
C1_04570C_A	orf19.6851	CHL4
C1_04580C_A	orf19.6852	
C1_04590W_A	orf19.6852.1	
C1_04600C_A	orf19.6853	
C1_04610W_A	orf19.6854	ATP1
C1_04620W_A	orf19.6855	
C1_04630C_A	orf19.783	
C1_04640W_A	orf19.782	
C1_04650W_A	orf19.781	DUR3
C1_04660W_A	orf19.780	DUR1%2C2
C1_04670W_A	orf19.779	HAT1
C1_04680W_A	orf19.778	PIL1
C1_04690C_A	orf19.776	
C1_04700C_A	orf19.775	
C1_04710C_A	orf19.773	
C1_04720W_A	orf19.772.1	
C1_04730C_A	orf19.772	LYS21
C1_04740W_A	orf19.771	LPG20
C1_04750W_A	orf19.769	IFE1
C1_04760C_A	orf19.768	SYG1
C1_04770C_A	orf19.767	ERG3
C1_04780C_A	orf19.764	
C1_04790W_A	orf19.763	
C1_04800C_A	orf19.762	
C1_04810W_A	orf19.761	TCO89
C1_04820C_A	orf19.760	
C1_04830W_A	orf19.759	SEC21
C1_04840C_A	orf19.758	
C1_04850C_A	orf19.757.1	
C1_04860W_A	orf19.757	
C1_04870W_A	orf19.756	SAP7
C1_04880C_A	orf19.755	MRPL37
C1_04890W_A	orf19.754	YBN5
C1_04900W_A	orf19.753	MNN15
C1_04910C_A	orf19.752	
C1_04930C_A	orf19.751	
C1_04940C_A	orf19.750	
C1_04950C_A	orf19.48	RPM2
C1_04960C_A	orf19.50	
C1_04970W_A	orf19.51	
C1_04980C_A	orf19.52	
C1_04990C_A	orf19.53	
C1_05000W_A	orf19.54	RHD1
C1_05010C_A	orf19.55	
C1_05020C_A	orf19.56	ARG2
C1_05030C_A	orf19.57	PSF2
C1_05050C_A	orf19.58	RRP6
C1_05060W_A	orf19.59	REI1
C1_05070C_A	orf19.4064	GPI7
C1_05080W_A	orf19.4063	GPT1
C1_05090W_A	orf19.4062	TRY2
C1_05100W_A	orf19.4061	
C1_05110C_A	orf19.4060	ARO4
C1_05120W_A	orf19.4059	
C1_05130W_A	orf19.4057	
C1_05140W_A	orf19.4056	BRG1
C1_05150C_A	orf19.450	
C1_05160C_A	orf19.449	
C1_05170C_A	orf19.448	CUE5
C1_05180C_A	orf19.446.2	
C1_05190C_A	orf19.446.1	
C1_05200C_A	orf19.446	
C1_05210C_A	orf19.445	
C1_05220C_A	orf19.444	
C1_05230W_A	orf19.443	
C1_05240C_A	orf19.441	RPT1
C1_05250W_A	orf19.442	
C1_05260C_A	orf19.440	SDH1
C1_05270C_A	orf19.439	
C1_05280W_A	orf19.438	
C1_05290W_A	orf19.437	GRS1
C1_05300C_A	orf19.434	PRD1
C1_05310W_A	tP(UGG)1	tP(UGG)1
C1_05320C_A	orf19.433	
C1_05330C_A	orf19.432	
C1_05340C_A	orf19.431	ZCF2
C1_05350W_A	orf19.430	YPT53
C1_05360C_A	orf19.429	
C1_05370C_A	orf19.428	
C1_05380C_A	orf19.427	
C1_05390C_A	orf19.426	
C1_05400C_A	orf19.425	
C1_05410C_A	orf19.424	TRP99
C1_05420W_A	orf19.423	
C1_05430W_A	orf19.422	SPT20
C1_05440C_A	orf19.419	
C1_05450W_A	orf19.420	
C1_05460W_A	orf19.418	KOG1
C1_05470W_A	orf19.417	MTM1
C1_05480C_A	orf19.416	
C1_05490C_A	orf19.415	
C1_05500W_A	orf19.414	RSM22
C1_05510C_A	orf19.413.1	RPS27A
C1_05520W_A	orf19.413	
C1_05530C_A	orf19.412	SSH1
C1_05540C_A	orf19.411	
C1_05550C_A	snR60	
C1_05560W_A	orf19.410.3	RIB4
C1_05570W_A	tN(GUU)2	tN(GUU)2
C1_05580W_A	tN(GUU)1	tN(GUU)1
C1_05590W_A	tT(AGU)1	tT(AGU)1
C1_05600W_A	orf19.2495	GSL1
C1_05610W_A	orf19.2494	
C1_05620C_A	orf19.2492	STE3
C1_05630C_A	orf19.2489	
C1_05640C_A	orf19.2488	FAL1
C1_05650W_A	orf19.2487	
C1_05660C_A	orf19.2485	
C1_05670W_A	orf19.2484	
C1_05680C_A	orf19.2483	RIM1
C1_05690C_A	orf19.2481	
C1_05700W_A	orf19.2480.1	AUT7
C1_05710C_A	orf19.2479	UGA4
C1_05720W_A	orf19.2478.1	
C1_05730W_A	snR39b	
C1_05740C_A	orf19.2478	
C1_05750C_A	orf19.2476	
C1_05760C_A	orf19.2475	PGA26
C1_05770C_A	orf19.2474	PRC3
C1_05780W_A	orf19.2473	
C1_05790W_A	orf19.2472.1	
C1_05800C_A	orf19.2472	
C1_05810W_A	orf19.2471	GIM5
C1_05820C_A	orf19.2469	RAD10
C1_05830W_A	orf19.2468	
C1_05840W_A	orf19.2467	PRN1
C1_05850W_A	orf19.2465	POL32
C1_05860W_A	orf19.2463	PRN2
C1_05870W_A	orf19.2462	PRN3
C1_05880W_A	orf19.2461	PRN4
C1_05890W_A	orf19.2460	
C1_05900W_A	orf19.2459	
C1_05910W_A	orf19.2458	SIP5
C1_05920W_A	orf19.2457	
C1_05930C_A	orf19.2455	
C1_05940W_A	orf19.2454	PHO87
C1_05950C_A	orf19.2452	
C1_05960W_A	orf19.2451	PGA45
C1_05970W_A	orf19.2449	
C1_05980W_A	orf19.2447	
C1_05990C_A	orf19.2446	
C1_06000W_A	orf19.2445	
C1_06010W_A	orf19.2444	CHS7
C1_06020W_A	orf19.2443	RGD1
C1_06030C_A	orf19.2442	
C1_06040W_A	orf19.2440	RTT101
C1_06050C_A	orf19.2439.1	
C1_06060C_A	orf19.2439	ACP1
C1_06070W_A	orf19.2438	
C1_06080C_A	orf19.2437	ARC35
C1_06090C_A	orf19.2436	
C1_06100C_A	orf19.2435	MSI3
C1_06110C_A	orf19.2434	NPL4
C1_06120C_A	orf19.2433	
C1_06130C_A	orf19.2432	HAC1
C1_06140C_A	orf19.2431	
C1_06150W_A	orf19.2430	
C1_06160W_A	orf19.2429	
C1_06180W_A	orf19.2661	TLO34
C1_06190C_A	orf19.2662	
C1_06200W_A	orf19.2663	
C1_06210W_A	orf19.1828	BUD16
C1_06220C_A	orf19.1827	
C1_06230C_A	orf19.1826	MDM34
C1_06250W_A	orf19.1825	
C1_06260W_A	orf19.1824	PGA50
C1_06270W_A	orf19.1823	
C1_06280C_A	orf19.1822	UME6
C1_06290C_A	orf19.1821	
C1_06300W_A	snR5b	
C1_06310W_A	snR44a	
C1_06320W_A	orf19.177	
C1_06330W_A	orf19.6280	
C1_06340W_A	orf19.6277	
C1_06350W_A	orf19.6276	
C1_06360W_A	orf19.6275	
C1_06370C_A	orf19.6274	PBR1
C1_06380C_A	orf19.6273	
C1_06390W_A	orf19.6272	
C1_06400C_A	orf19.6271	
C1_06410W_A	orf19.6269	
C1_06420C_A	orf19.6268	
C1_06430C_A	orf19.6267	
C1_06440C_A	orf19.6266	
C1_06450C_A	orf19.6265.1	RPS14B
C1_06460C_A	orf19.6265	RPS22A
C1_06470W_A	orf19.6264.4	
C1_06480C_A	orf19.6264.3	
C1_06490C_A	snR189a	
C1_06500W_A	orf19.6264	
C1_06510C_A	orf19.6263	
C1_06520C_A	orf19.6261	BPH1
C1_06530C_A	orf19.6260	
C1_06540C_A	orf19.6259	
C1_06550W_A	orf19.6257	GLT1
C1_06560W_A	orf19.6255	
C1_06570W_A	orf19.6254	ANT1
C1_06580W_A	orf19.6253	RPS23A
C1_06590C_A	orf19.6252	
C1_06600W_A	orf19.6250	
C1_06610C_A	orf19.6249	HAK1
C1_06620C_A	orf19.6248	
C1_06630W_A	orf19.6247	
C1_06640C_A	orf19.6247.1	
C1_06650W_A	orf19.6246	NAA20
C1_06660W_A	orf19.6245	
C1_06670W_A	orf19.6244	
C1_06680W_A	orf19.6243	VPS34
C1_06690W_A	orf19.6242	CYK3
C1_06700W_A	orf19.6240	
C1_06710W_A	orf19.6239	KIN28
C1_06720C_A	orf19.6238	
C1_06730W_A	orf19.6237	RAC1
C1_06740C_A	orf19.6236	NOP6
C1_06750W_A	orf19.6235	
C1_06760C_A	orf19.6234	
C1_06770W_A	orf19.6233	
C1_06780W_A	orf19.6232	NPR1
C1_06790C_A	orf19.6231	MRPL19
C1_06800W_A	orf19.6230	
C1_06810W_A	orf19.6229	CAT1
C1_06820W_A	orf19.6227	
C1_06830W_A	snR44b	
C1_06840C_A	orf19.6225.1	
C1_06850W_A	orf19.6225	PCL7
C1_06860W_A	orf19.6224	
C1_06870C_A	orf19.6222.1	
C1_06880C_A	orf19.6222	SPO22
C1_06890C_A	orf19.6220.4	
C1_06900C_A	orf19.6220.3	MMD1
C1_06910C_A	orf19.6220	
C1_06920C_A	orf19.6219	
C1_06930W_A	orf19.6217	PGA63
C1_06940C_A	orf19.6214	ATC1
C1_06950C_A	tP(AGG)1	tP(AGG)1
C1_06960W_A	orf19.6213	SUI2
C1_06970C_A	orf19.6211	
C1_06980C_A	orf19.6209	
C1_06990C_A	tL(UAA)4	tL(UAA)4
C1_07000W_A	orf19.6208	MEF2
C1_07010W_A	orf19.6205	
C1_07020C_A	orf19.6203	PUT3
C1_07030C_A	orf19.6202	RBT4
C1_07040C_A	orf19.6200	
C1_07050C_A	orf19.6199	
C1_07060C_A	orf19.6198.1	
C1_07070C_A	orf19.6197	DHH1
C1_07080W_A	orf19.6196	
C1_07090C_A	orf19.6195	
C1_07100C_A	orf19.6194	
C1_07110W_A	orf19.6193	TAF145
C1_07120W_A	orf19.4456	GAP4
C1_07130C_A	orf19.4455	
C1_07140C_A	orf19.4451	RIA1
C1_07150W_A	orf19.4450.2	
C1_07160C_A	orf19.4450.1	
C1_07170C_A	orf19.4450	ZCF23
C1_07180W_A	orf19.4449	CCS1
C1_07190W_A	orf19.4448	SOG2
C1_07200W_A	orf19.4447	YMC1
C1_07210C_A	orf19.4446	
C1_07220W_A	orf19.4445	
C1_07230W_A	orf19.4444	PHO15
C1_07240W_A	orf19.4443	YPD1
C1_07250C_A	orf19.4442	ALG9
C1_07260C_A	orf19.4441	
C1_07270W_A	orf19.4440	SEC34
C1_07280C_A	orf19.4439.1	
C1_07290W_A	orf19.4439	
C1_07310C_A	tL(AAG)2	tL(AAG)2
C1_07320W_A	snR43a	
C1_07330W_A	orf19.4438	RME1
C1_07340W_A	orf19.4437	
C1_07350C_A	orf19.4436	GPX3
C1_07360W_A	orf19.4435	
C1_07370C_A	orf19.4433	CPH1
C1_07380C_A	orf19.4432	KSP1
C1_07390W_A	orf19.4430	
C1_07400C_A	orf19.4428	
C1_07410C_A	orf19.4427	SKP1
C1_07420C_A	orf19.4426	PEX3
C1_07430W_A	orf19.4424	PHO100
C1_07440W_A	orf19.4423	
C1_07450W_A	snR42a	
C1_07460C_A	orf19.2799	GPI8
C1_07470C_A	orf19.2798	
C1_07480C_A	orf19.2797	
